Vernr,Bokföringsdatum,Registreringsdatum,Konto,Benämning,Ks,Projnr,Verifikationstext,Transaktionsinfo,Debet,Kredit
D1,2025-01-31,2025-02-11,2440,Leverantörsskulder,,,Levfakt Allegat (28),,,"4375,00"
D1,2025-01-31,2025-02-11,2641,Debiterad ingående moms,,,Levfakt Allegat (28),,"875,00",
D1,2025-01-31,2025-02-11,6530,Redovisningstjänster,,,Levfakt Allegat (28),,"3500,00",
D2,2025-01-31,2025-02-11,2440,Leverantörsskulder,,,Levfakt Panininu AB (29),,,"11335,00"
D2,2025-01-31,2025-02-11,2641,Debiterad ingående moms,,,Levfakt Panininu AB (29),,"1214,47",
D2,2025-01-31,2025-02-11,4000,Inköp av varor från Sverige,,,Levfakt Panininu AB (29),,"10120,53",
D3,2025-02-28,2025-03-05,2440,Leverantörsskulder,,,Levfakt Allegat (30),,,"4375,00"
D3,2025-02-28,2025-03-05,2641,Debiterad ingående moms,,,Levfakt Allegat (30),,"875,00",
D3,2025-02-28,2025-03-05,6530,Redovisningstjänster,,,Levfakt Allegat (30),,"3500,00",
D4,2025-03-07,2025-03-10,2440,Leverantörsskulder,,,Levfakt Fortnox (31),,,"1684,00"
D4,2025-03-07,2025-03-10,2641,Debiterad ingående moms,,,Levfakt Fortnox (31),,"336,75",
D4,2025-03-07,2025-03-10,5420,Programvaror,,,Levfakt Fortnox (31),,"1347,25",
D5,2025-03-20,2025-03-29,2440,Leverantörsskulder,,,Levfakt Pokalhuset.se (32),,,"452,00"
D5,2025-03-20,2025-03-29,2641,Debiterad ingående moms,,,Levfakt Pokalhuset.se (32),,"90,40",
D5,2025-03-20,2025-03-29,5940,Utställningar och mässor,,,Levfakt Pokalhuset.se (32),,"361,60",
D6,2025-04-02,2025-04-10,2440,Leverantörsskulder,,,Levfakt Worknode (33),,,"11096,00"
D6,2025-04-02,2025-04-10,2641,Debiterad ingående moms,,,Levfakt Worknode (33),,"2187,50",
D6,2025-04-02,2025-04-10,4000,Inköp av varor från Sverige,,,Levfakt Worknode (33),,"8908,50",
D7,2025-03-31,2025-04-10,2440,Leverantörsskulder,,,Levfakt Allegat (34),,,"4375,00"
D7,2025-03-31,2025-04-10,2641,Debiterad ingående moms,,,Levfakt Allegat (34),,"875,00",
D7,2025-03-31,2025-04-10,6530,Redovisningstjänster,,,Levfakt Allegat (34),,"3500,00",
D8,2025-03-31,2025-04-10,2440,Leverantörsskulder,,,Levfakt Fridholm & Patners AB (35),,,"7337,50"
D8,2025-03-31,2025-04-10,2641,Debiterad ingående moms,,,Levfakt Fridholm & Patners AB (35),,"1467,50",
D8,2025-03-31,2025-04-10,4000,Inköp av varor från Sverige,,,Levfakt Fridholm & Patners AB (35),,"5870,00",
D9,2025-04-14,2025-04-24,2440,Leverantörsskulder,,,Levfakt Polytope (36),,,"1250,00"
D9,2025-04-14,2025-04-24,2641,Debiterad ingående moms,,,Levfakt Polytope (36),,"250,00",
D9,2025-04-14,2025-04-24,5420,Programvaror,,,Levfakt Polytope (36),,"1000,00",
D10,2025-04-14,2025-04-24,2440,Leverantörsskulder,,,Levfakt Reklambutiken i Sverige AB (37),,,"4619,00"
D10,2025-04-14,2025-04-24,2641,Debiterad ingående moms,,,Levfakt Reklambutiken i Sverige AB (37),,"923,75",
D10,2025-04-14,2025-04-24,4000,Inköp av varor från Sverige,,,Levfakt Reklambutiken i Sverige AB (37),,"3695,25",
D11,2025-04-15,2025-04-24,2440,Leverantörsskulder,,,Levfakt Pokalhuset.se (38),,,"452,00"
D11,2025-04-15,2025-04-24,2641,Debiterad ingående moms,,,Levfakt Pokalhuset.se (38),,"90,40",
D11,2025-04-15,2025-04-24,4000,Inköp av varor från Sverige,,,Levfakt Pokalhuset.se (38),,"361,60",
D12,2025-04-14,2025-04-24,2440,Leverantörsskulder,,,Levfakt Polytope (39),,,"1250,00"
D12,2025-04-14,2025-04-24,2641,Debiterad ingående moms,,,Levfakt Polytope (39),,"250,00",
D12,2025-04-14,2025-04-24,5420,Programvaror,,,Levfakt Polytope (39),,"1000,00",
D13,2025-04-14,2025-04-24,2440,Leverantörsskulder,,,Levfakt Polytope (40),,,"1250,00"
D13,2025-04-14,2025-04-24,2641,Debiterad ingående moms,,,Levfakt Polytope (40),,"250,00",
D13,2025-04-14,2025-04-24,5420,Programvaror,,,Levfakt Polytope (40),,"1000,00",
D14,2025-04-14,2025-04-24,2440,Leverantörsskulder,,,Levfakt Polytope (41),,,"1250,00"
D14,2025-04-14,2025-04-24,2641,Debiterad ingående moms,,,Levfakt Polytope (41),,"250,00",
D14,2025-04-14,2025-04-24,5420,Programvaror,,,Levfakt Polytope (41),,"1000,00",
D15,2025-04-16,2025-04-24,2440,Leverantörsskulder,,,Levfakt Printgroup Nordic / Walley (42),,,"11266,75"
D15,2025-04-16,2025-04-24,2641,Debiterad ingående moms,,,Levfakt Printgroup Nordic / Walley (42),,"2253,35",
